iter	Passed	Remaining
0	1	1096
1	1	940
2	2	888
3	3	855
4	4	837
5	4	823
6	5	814
7	6	821
8	7	814
9	8	800
10	8	789
11	9	779
12	10	795
13	11	812
14	12	804
15	12	795
16	13	787
17	14	780
18	15	774
19	15	768
20	16	763
21	17	758
22	17	762
23	18	760
24	19	755
25	20	751
26	21	757
27	21	757
28	22	753
29	23	750
30	23	746
31	24	743
32	25	740
33	25	737
34	26	738
35	27	735
36	28	733
37	28	730
38	29	728
39	30	726
40	30	723
41	31	721
42	32	719
43	33	717
44	33	715
45	34	713
46	35	711
47	35	710
48	36	708
49	37	711
50	38	709
51	38	707
52	39	706
53	40	704
54	40	702
55	41	701
56	42	699
57	42	697
58	43	696
59	44	694
60	45	693
61	45	694
62	46	692
63	47	691
64	47	689
65	48	688
66	49	687
67	50	685
68	50	684
69	51	683
70	52	682
71	52	681
72	53	679
73	54	678
74	54	677
75	55	676
76	56	674
77	57	676
78	57	675
79	58	674
80	59	673
81	60	672
82	60	670
83	61	670
84	62	669
85	62	668
86	63	667
87	64	666
88	64	665
89	65	664
90	66	663
91	67	662
92	67	660
93	68	659
94	69	658
95	69	657
96	70	656
97	71	655
98	71	654
99	72	653
100	73	653
101	74	652
102	74	651
103	75	650
104	76	649
105	77	650
106	77	650
107	78	650
108	79	649
109	80	648
110	80	647
111	81	646
112	82	645
113	82	644
114	83	643
115	84	642
116	84	641
117	85	640
118	86	640
119	87	640
120	88	640
121	88	639
122	89	638
123	90	637
124	90	636
125	91	635
126	92	634
127	93	633
128	93	632
129	94	631
130	95	630
131	95	629
132	96	630
133	97	629
134	98	629
135	98	628
136	99	627
137	100	626
138	101	625
139	101	624
140	102	623
141	103	623
142	103	622
143	104	622
144	105	621
145	106	620
146	106	619
147	107	618
148	108	617
149	108	616
150	109	615
151	110	615
152	110	614
153	111	613
154	112	612
155	113	611
156	113	610
157	114	609
158	115	609
159	115	608
160	116	608
161	117	607
162	118	606
163	118	605
164	119	604
165	120	603
166	120	602
167	121	602
168	122	601
169	123	600
170	123	600
171	124	599
172	125	598
173	125	597
174	126	596
175	127	596
176	128	595
177	128	594
178	129	594
179	130	593
180	130	592
181	131	591
182	132	590
183	132	589
184	133	589
185	134	588
186	135	587
187	136	587
188	136	587
189	137	586
190	138	586
191	139	585
192	139	584
193	140	583
194	141	582
195	141	582
196	142	581
197	143	580
198	143	579
199	144	578
200	145	578
201	146	577
202	146	576
203	147	575
204	148	574
205	148	574
206	149	573
207	150	572
208	151	571
209	151	570
210	152	569
211	153	569
212	153	568
213	154	567
214	155	567
215	156	566
216	156	566
217	157	565
218	158	564
219	158	563
220	159	562
221	160	562
222	161	562
223	162	561
224	162	560
225	163	559
226	164	559
227	164	558
228	165	557
229	166	556
230	167	556
231	167	555
232	168	554
233	169	554
234	169	553
235	170	552
236	171	551
237	172	551
238	172	550
239	173	549
240	174	548
241	175	549
242	176	548
243	176	547
244	177	546
245	178	545
246	179	545
247	179	544
248	180	544
249	181	543
250	181	542
251	182	541
252	183	540
253	183	539
254	184	539
255	185	538
256	185	537
257	186	536
258	187	535
259	188	535
260	188	534
261	189	533
262	190	532
263	190	532
264	191	531
265	192	530
266	192	529
267	193	529
268	194	528
269	195	527
270	195	527
271	196	526
272	197	525
273	198	524
274	198	524
275	199	523
276	200	522
277	200	521
278	201	520
279	202	520
280	203	520
281	203	519
282	204	518
283	205	517
284	206	516
285	206	516
286	207	515
